op,phase,axis,axis_value,latency_us,TFLOPS,shape,backend
MoE GateUp masked,decode,masked_m,ep12,86.66,65.05,E=12 masked_m=ep12 K=7168 N=2048,deep_gemm masked (non-uniform)
MLA attention prefill,prefill,prefill_seqlen,1024,343.34,62.55,"Q/K:[1024,64,192] V:[1024,64,128] seqlen=1024","flashinfer.single_prefill_with_kv_cache (ragged, causal)"
MLA attention prefill,prefill,prefill_seqlen,2048,787.0,109.15,"Q/K:[2048,64,192] V:[2048,64,128] seqlen=2048","flashinfer.single_prefill_with_kv_cache (ragged, causal)"
MLA attention prefill,prefill,prefill_seqlen,4096,2254.2,152.43,"Q/K:[4096,64,192] V:[4096,64,128] seqlen=4096","flashinfer.single_prefill_with_kv_cache (ragged, causal)"
MLA attention prefill,prefill,prefill_seqlen,8192,8448.71,162.67,"Q/K:[8192,64,192] V:[8192,64,128] seqlen=8192","flashinfer.single_prefill_with_kv_cache (ragged, causal)"
MLA attention prefill,prefill,prefill_seqlen,16384,31559.71,174.2,"Q/K:[16384,64,192] V:[16384,64,128] seqlen=16384","flashinfer.single_prefill_with_kv_cache (ragged, causal)"
MLA attention decode,decode,decode_kvlen,1024,64.54,35.35,"Q:[16,1,64,576] KV:paged(1024,576) v=512",flashinfer.trtllm_batch_decode_with_kv_cache_mla (sm100)
MLA attention decode,decode,decode_kvlen,2048,72.36,63.07,"Q:[16,1,64,576] KV:paged(2048,576) v=512",flashinfer.trtllm_batch_decode_with_kv_cache_mla (sm100)
MLA attention decode,decode,decode_kvlen,4096,71.28,128.04,"Q:[16,1,64,576] KV:paged(4096,576) v=512",flashinfer.trtllm_batch_decode_with_kv_cache_mla (sm100)
MLA attention decode,decode,decode_kvlen,8192,146.44,124.65,"Q:[16,1,64,576] KV:paged(8192,576) v=512",flashinfer.trtllm_batch_decode_with_kv_cache_mla (sm100)
MLA attention decode,decode,decode_kvlen,16384,172.69,211.4,"Q:[16,1,64,576] KV:paged(16384,576) v=512",flashinfer.trtllm_batch_decode_with_kv_cache_mla (sm100)
MLA attention decode,decode,decode_kvlen,32768,334.04,218.58,"Q:[16,1,64,576] KV:paged(32768,576) v=512",flashinfer.trtllm_batch_decode_with_kv_cache_mla (sm100)
MLA attention decode,decode,decode_B,1,59.85,9.53,"Q:[1,1,64,576] KV:paged(4096,576) v=512",flashinfer.trtllm_batch_decode_with_kv_cache_mla (sm100)
MLA attention decode,decode,decode_B,2,60.9,18.73,"Q:[2,1,64,576] KV:paged(4096,576) v=512",flashinfer.trtllm_batch_decode_with_kv_cache_mla (sm100)
MLA attention decode,decode,decode_B,4,62.73,36.37,"Q:[4,1,64,576] KV:paged(4096,576) v=512",flashinfer.trtllm_batch_decode_with_kv_cache_mla (sm100)
MLA attention decode,decode,decode_B,8,71.15,64.14,"Q:[8,1,64,576] KV:paged(4096,576) v=512",flashinfer.trtllm_batch_decode_with_kv_cache_mla (sm100)
MLA attention decode,decode,decode_B,16,71.37,127.89,"Q:[16,1,64,576] KV:paged(4096,576) v=512",flashinfer.trtllm_batch_decode_with_kv_cache_mla (sm100)
MLA attention decode,decode,decode_B,32,145.44,125.51,"Q:[32,1,64,576] KV:paged(4096,576) v=512",flashinfer.trtllm_batch_decode_with_kv_cache_mla (sm100)
MLA attention decode,decode,decode_B,64,174.2,209.57,"Q:[64,1,64,576] KV:paged(4096,576) v=512",flashinfer.trtllm_batch_decode_with_kv_cache_mla (sm100)
MLA attention decode,decode,decode_B,128,333.49,218.94,"Q:[128,1,64,576] KV:paged(4096,576) v=512",flashinfer.trtllm_batch_decode_with_kv_cache_mla (sm100)
MLA attention decode,decode,decode_B,256,615.16,237.38,"Q:[256,1,64,576] KV:paged(4096,576) v=512",flashinfer.trtllm_batch_decode_with_kv_cache_mla (sm100)
