模型,层类型,算子名称,执行阶段,数据精度,测量类型,sweep轴,sweep取值,算子规模/shape,latency_us,TFLOPS,sglang入口,底层Kernel,实现类型,B200实测后端,备选实现,备注/发现
Kimi-K2.7,mla,O_proj,Prefill,FP8 W8A8,sweep,prefill_M,16384,"[16384,1024]x[1024,7168] aligned(1024,7168)",265.21,906.89,o_proj,deep_gemm w8a8_block_fp8,CUDA-JIT,deep_gemm w8a8_block_fp8 (blackwell path),,sweep op=O_proj (fp8)
Kimi-K2.7,mla,O_proj,Prefill,FP8 W8A8,sweep,prefill_M,32768,"[32768,1024]x[1024,7168] aligned(1024,7168)",533.8,901.16,o_proj,deep_gemm w8a8_block_fp8,CUDA-JIT,deep_gemm w8a8_block_fp8 (blackwell path),,sweep op=O_proj (fp8)
Kimi-K2.7,mla,O_proj,Decode,FP8 W8A8,reference,,ref,"[16,8192]×[8192,7168]",57.57,32.64,o_proj,deep_gemm w8a8_block_fp8,CUDA-JIT,deep_gemm w8a8_block_fp8 (blackwell path),备选: CUTLASS CUDA / Triton FP8 / F.linear cuBLAS,B200 补测 || sweep decode_B[1..256]: 57–62us (见kimi_k27_sweeps.csv) || 发现: decode B1→256 平坦(~57us)，launch/带宽受限，非compute-bound(CUDA-graph计时才能测真实核时间)
Kimi-K2.7,mla,O_proj,Decode,FP8 W8A8,sweep,decode_B,1,"[1,8192]x[8192,7168] aligned(8192,7168)",57.3,2.05,o_proj,deep_gemm w8a8_block_fp8,CUDA-JIT,deep_gemm w8a8_block_fp8 (blackwell path),,sweep op=O_proj (fp8)
Kimi-K2.7,mla,O_proj,Decode,FP8 W8A8,sweep,decode_B,2,"[2,8192]x[8192,7168] aligned(8192,7168)",57.27,4.1,o_proj,deep_gemm w8a8_block_fp8,CUDA-JIT,deep_gemm w8a8_block_fp8 (blackwell path),,sweep op=O_proj (fp8)
Kimi-K2.7,mla,O_proj,Decode,FP8 W8A8,sweep,decode_B,4,"[4,8192]x[8192,7168] aligned(8192,7168)",57.15,8.22,o_proj,deep_gemm w8a8_block_fp8,CUDA-JIT,deep_gemm w8a8_block_fp8 (blackwell path),,sweep op=O_proj (fp8)
Kimi-K2.7,mla,O_proj,Decode,FP8 W8A8,sweep,decode_B,8,"[8,8192]x[8192,7168] aligned(8192,7168)",57.28,16.4,o_proj,deep_gemm w8a8_block_fp8,CUDA-JIT,deep_gemm w8a8_block_fp8 (blackwell path),,sweep op=O_proj (fp8)
Kimi-K2.7,mla,O_proj,Decode,FP8 W8A8,sweep,decode_B,16,"[16,8192]x[8192,7168] aligned(8192,7168)",57.36,32.76,o_proj,deep_gemm w8a8_block_fp8,CUDA-JIT,deep_gemm w8a8_block_fp8 (blackwell path),,sweep op=O_proj (fp8)
Kimi-K2.7,mla,O_proj,Decode,FP8 W8A8,sweep,decode_B,32,"[32,8192]x[8192,7168] aligned(8192,7168)",57.9,64.9,o_proj,deep_gemm w8a8_block_fp8,CUDA-JIT,deep_gemm w8a8_block_fp8 (blackwell path),,sweep op=O_proj (fp8)
Kimi-K2.7,mla,O_proj,Decode,FP8 W8A8,sweep,decode_B,64,"[64,8192]x[8192,7168] aligned(8192,7168)",59.11,127.16,o_proj,deep_gemm w8a8_block_fp8,CUDA-JIT,deep_gemm w8a8_block_fp8 (blackwell path),,sweep op=O_proj (fp8)
Kimi-K2.7,mla,O_proj,Decode,FP8 W8A8,sweep,decode_B,128,"[128,8192]x[8192,7168] aligned(8192,7168)",60.02,250.46,o_proj,deep_gemm w8a8_block_fp8,CUDA-JIT,deep_gemm w8a8_block_fp8 (blackwell path),,sweep op=O_proj (fp8)
Kimi-K2.7,mla,O_proj,Decode,FP8 W8A8,sweep,decode_B,256,"[256,8192]x[8192,7168] aligned(8192,7168)",62.41,481.76,o_proj,deep_gemm w8a8_block_fp8,CUDA-JIT,deep_gemm w8a8_block_fp8 (blackwell path),,sweep op=O_proj (fp8)
Kimi-K2.7,mla,MLA Attention core,Prefill,BF16/FP8 KV,reference,,ref,Q/K/V MLA prefill (no DSA sparse),2256.27,152.29,dsa_backend / flashinfer,flashinfer trtllm ragged / flash_mla,CUDA,"flashinfer single_prefill (ragged, causal)",备选: FA3 CUDA / TileLang；非 Triton 主路径,"B200 补测 seq=4096; seq=8192: 8425.61us/163.12 TFLOPS; MLA dims H=64,qk=192,v=128 || sweep prefill_seqlen[1024..16384]: 343–31560us (见kimi_k27_sweeps.csv) || 发现: O(seq²) causal，每2x seq约4x latency(16k=31.6ms)"
Kimi-K2.7,mla,MLA Attention core,Prefill,BF16/FP8 KV,sweep,prefill_seqlen,1024,"Q/K:[1024,64,192] V:[1024,64,128] seqlen=1024",343.34,62.55,dsa_backend / flashinfer,flashinfer trtllm ragged / flash_mla,CUDA,"flashinfer.single_prefill_with_kv_cache (ragged, causal)",,sweep op=MLA attention prefill
Kimi-K2.7,mla,MLA Attention core,Prefill,BF16/FP8 KV,sweep,prefill_seqlen,2048,"Q/K:[2048,64,192] V:[2048,64,128] seqlen=2048",787.0,109.15,dsa_backend / flashinfer,flashinfer trtllm ragged / flash_mla,CUDA,"flashinfer.single_prefill_with_kv_cache (ragged, causal)",,sweep op=MLA attention prefill
