operator,category,backend,phase,axis_M,axis_S,latency_ms,tflops,gbps,ai,ridge,bound,compute_util,bw_util,reward,compute_dtype,error
q_b_proj,Attention,deep_gemm.fp8_gemm_nt,prefill,2048,65536,0.06804640293121338,2019.7827886792786,1543.0185796321816,1308.9815089334477,562.5,compute,0.44884061970650635,0.1928773224540227,0.44884061970650635,fp8,
absorbed_W_UK,Attention,sgl_kernel.bmm_fp8,prefill,2048,65536,0.0325408011674881,791.9228430597742,5091.300830218275,155.54430379746836,562.5,memory,0.17598285401328317,0.6364126037772844,0.6364126037772845,fp8,
absorbed_W_UV,Attention,sgl_kernel.bmm_fp8,prefill,2048,65536,0.023048000037670137,1490.790450878242,6187.362711164578,240.94117647058823,562.5,memory,0.33128676686183156,0.7734203388955723,0.7734203388955724,fp8,
o_proj,Attention,deep_gemm.fp8_gemm_nt,prefill,2048,65536,0.15308959484100343,2693.3042761281463,1048.122860124151,2569.6455812528716,562.5,compute,0.5985120613618103,0.13101535751551888,0.5985120613618103,fp8,
dsa_prefill_attn,DSA,sgl_kernel.flash_mla_sparse_fwd,prefill,2048,65536,0.5858784198760987,996.9910692043044,644.3100602337099,1547.3777777777777,281.25,compute,0.44310714186857975,0.08053875752921374,0.44310714186857975,bf16,
index_k_proj,DSA-Indexer,deep_gemm.fp8_gemm_nt,prefill,2048,65536,0.08758879899978637,1176.853847536503,4941.27035582547,238.16827714133487,562.5,memory,0.261523077230334,0.6176587944781837,0.6176587944781838,fp8,
index_q_upproj,DSA-Indexer,deep_gemm.fp8_gemm_nt,prefill,2048,65536,0.03130879998207092,1097.4466727461993,942.0114478002797,1165.0035414207346,562.5,compute,0.2438770383880443,0.11775143097503496,0.2438770383880443,fp8,
index_weights_proj,DSA-Indexer,deep_gemm.bf16_gemm_nt,prefill,2048,65536,0.02035039961338043,39.57201741977142,1268.8293345857699,31.18781725888325,281.25,memory,0.017587563297676186,0.15860366682322122,0.15860366682322122,bf16,
index_score,DSA-Indexer,deep_gemm.fp8_mqa_logits,prefill,2048,65536,0.5483007907867432,2005.3073901249313,1010.7087666330588,1984.0605487228004,562.5,compute,0.4456238644722069,0.12633859582913234,0.4456238644722069,fp8,
moe_gate_proj,MoE,deep_gemm.fp8_m_grouped_gemm_nt_masked,prefill,2048,65536,0.17505120038986205,2355.40721513315,1551.5789631553412,1518.0711204946463,562.5,compute,0.5234238255851444,0.19394737039441765,0.5234238255851444,fp8,
moe_up_proj,MoE,deep_gemm.fp8_m_grouped_gemm_nt_masked,prefill,2048,65536,0.17010079622268676,2423.956087049805,1596.7342071957644,1518.0711204946463,562.5,compute,0.53865690823329,0.19959177589947055,0.53865690823329,fp8,
moe_down_proj,MoE,deep_gemm.fp8_m_grouped_gemm_nt_masked,prefill,2048,65536,0.17682080268859862,2331.834570065472,1903.7209812514047,1224.8825290209536,562.5,compute,0.5181854600145493,0.2379651226564256,0.5181854600145493,fp8,
fused_qkv_a_proj,Attention,deep_gemm.fp8_gemm_nt,prefill,4096,65536,0.06399199962615967,2063.855562000757,993.4671892017456,2077.4269995359105,562.5,compute,0.45863456933350155,0.1241833986502182,0.45863456933350155,fp8,
q_b_proj,Attention,deep_gemm.fp8_gemm_nt,prefill,4096,65536,0.12501440048217774,2198.7699487723175,1411.2862463804902,1557.9900636114594,562.5,compute,0.48861554417162617,0.17641078079756128,0.48861554417162617,fp8,
absorbed_W_UK,Attention,sgl_kernel.bmm_fp8,prefill,4096,65536,0.07612159848213196,677.0694333763616,4270.25399468327,158.55483870967743,562.5,memory,0.15045987408363592,0.5337817493354088,0.5337817493354088,fp8,
absorbed_W_UV,Attention,sgl_kernel.bmm_fp8,prefill,4096,65536,0.045977601408958436,1494.629441948454,6020.846140661496,248.24242424242425,562.5,memory,0.33213987598854533,0.752605767582687,0.752605767582687,fp8,
o_proj,Attention,deep_gemm.fp8_gemm_nt,prefill,4096,65536,0.29310879707336424,2813.404882643617,751.3439999034838,3744.496373172637,562.5,compute,0.6252010850319148,0.09391799998793547,0.6252010850319148,fp8,
dsa_prefill_attn,DSA,sgl_kernel.flash_mla_sparse_fwd,prefill,4096,65536,1.291971206665039,904.2237926706981,525.9229033082961,1719.3086419753085,281.25,compute,0.40187724118697693,0.065740362913537,0.40187724118697693,bf16,
index_k_proj,DSA-Indexer,deep_gemm.fp8_gemm_nt,prefill,4096,65536,0.08927519917488098,1154.623188261707,4847.930220264076,238.16827714133487,562.5,memory,0.2565829307248238,0.6059912775330094,0.6059912775330094,fp8,
index_q_upproj,DSA-Indexer,deep_gemm.fp8_gemm_nt,prefill,4096,65536,0.04286240041255951,1603.2577754526287,1180.424789862549,1358.2040882412466,562.5,compute,0.3562795056561397,0.14755309873281863,0.3562795056561397,fp8,
index_weights_proj,DSA-Indexer,deep_gemm.bf16_gemm_nt,prefill,4096,65536,0.020839999616146087,77.28468165384008,2459.1724061402565,31.427109974424553,281.25,memory,0.0343487474017067,0.30739655076753203,0.30739655076753203,bf16,
index_score,DSA-Indexer,deep_gemm.fp8_mqa_logits,prefill,4096,65536,1.1165184020996093,1969.5360608627172,984.9314421795724,1999.6681764004768,562.5,compute,0.43767468019171496,0.12311643027244655,0.43767468019171496,fp8,
moe_gate_proj,MoE,deep_gemm.fp8_m_grouped_gemm_nt_masked,prefill,4096,65536,0.32866880893707273,2509.011194274554,1346.4120596996659,1863.4794424184083,562.5,compute,0.5575580431721231,0.16830150746245823,0.5575580431721231,fp8,
moe_up_proj,MoE,deep_gemm.fp8_m_grouped_gemm_nt_masked,prefill,4096,65536,0.31429119110107423,2623.7888435339655,1408.0052528665587,1863.4794424184083,562.5,compute,0.5830641874519923,0.17600065660831984,0.5830641874519923,fp8,
moe_down_proj,MoE,deep_gemm.fp8_m_grouped_gemm_nt_masked,prefill,4096,65536,0.32792000770568847,2514.740489918862,1745.996153165094,1440.289822723956,562.5,compute,0.5588312199819694,0.21824951914563676,0.5588312199819694,fp8,
